Datenbestand;Aktenzeichen/Registernummer;Markendarstellung;Aktenzustand
EM;"001550888";ANBIUN;Eintragung abgelaufen
EM;"001550912";HOMEBASE MEGASTORE;Anmeldung zurückgenommen
EM;"001550938";Living Content;Eintragung abgelaufen
EM;"001550961";Gastronet;Eintragung abgelaufen
EM;"001551092";VERCOMNET;Anmeldung zurückgenommen
EM;"001551142";SupPortal;Eintragung abgelaufen
EM;"001551324";QXML;Anmeldung zurückgenommen
EM;"001551340";One-Button-Editing;Anmeldung zurückgenommen
EM;"001551357";TRUEWAVE;Marke eingetragen
EM;"001551548";Visions of Music;Anmeldung zurückgenommen
EM;"001551571";SPACESCRIPT;Anmeldung zurückgenommen
EM;"001551613";SPACESERVER;Anmeldung zurückgenommen
EM;"001551670";SPACEENGINE;Anmeldung zurückgenommen
EM;"001551696";VOXSURF;Eintragung abgelaufen
EM;"001551779";SatBox;Eintragung abgelaufen
EM;"001551969";ACCUCOLOUR;Eintragung abgelaufen
EM;"001552140";CYBERSANTA;Eintragung abgelaufen
EM;"001552199";FEASA;Marke eingetragen
EM;"001552256";MANAGELLAN;Anmeldung zurückgenommen
EM;"001552389";EC-1;Anmeldung zurückgenommen
EM;"001552553";THINKLIGHT;Marke eingetragen
EM;"001552728";ULTRASTAR;Marke eingetragen
EM;"001552744";CREATING CUSTOMERS FOR LIFE;Anmeldung zurückgewiesen
EM;"001552819";Infomatec. Whatever you want, we provide it;Anmeldung zurückgenommen
EM;"001552959";RATIONAL THE E-DEVELOPMENT COMPANY;Eintragung abgelaufen
EM;"001553080";VISIONWORKS;Eintragung abgelaufen
EM;"001553122";LOOKING FURTHER, SEEING MORE;Eintragung abgelaufen
EM;"001553155";EYEWISH;Eintragung abgelaufen
EM;"001553171";CINEMAWARE;Eintragung abgelaufen
EM;"001553221";KNOWLEDGE WRITER;Anmeldung zurückgenommen
EM;"001553262";KNOWLEDGE FOUNTAIN;Anmeldung zurückgenommen
EM;"001553387";ELANGUAGE;Anmeldung zurückgenommen
EM;"001553403";DIRECTTALK;Eintragung abgelaufen
EM;"001553460";TAXI VISION;Anmeldung zurückgewiesen
EM;"001553577";CALLPATH;Marke eingetragen
EM;"001553650";NETSTRUCTURE;Eintragung abgelaufen
EM;"001553775";DEALAGENT;Anmeldung zurückgenommen
EM;"001553825";QRX;Anmeldung zurückgenommen
EM;"001553908";ELANGUAGES;Anmeldung zurückgenommen
EM;"001554070";Infomatec. Whatever you want, we CAPture it all;Anmeldung zurückgenommen
EM;"001554393";MEDIAMPACT;Anmeldung zurückgenommen
EM;"001554609";LENSES-NET;Anmeldung zurückgenommen
EM;"001554625";AEROTHERM;Eintragung abgelaufen
EM;"001554716";QUALIAC WEB;Marke eingetragen
EM;"001554914";OLA INTERNACIONAL;Anmeldung zurückgenommen
EM;"001554997";BLUEFUSION;Anmeldung zurückgenommen
EM;"001555002";Banque Cantonale de Zurich;Marke eingetragen
EM;"001555051";SPIKE;Eintragung abgelaufen
EM;"001555077";IDENTIFYING THE WORLD;Eintragung abgelaufen
EM;"001555242";DREAMBOARDS;Anmeldung zurückgenommen
EM;"001555283";ULTRAPRISE.COM;Anmeldung zurückgenommen
EM;"001555291";Banca Cantonale di Zurigo;Marke eingetragen
EM;"001555309";DREAMMASTER;Anmeldung zurückgenommen
EM;"001555325";SUPERDREAMER;Eintragung abgelaufen
EM;"001555341";DREAMTIME;Eintragung abgelaufen
EM;"001555366";DREAMWORLD;Anmeldung zurückgenommen
EM;"001555382";DREAMCHAT;Eintragung abgelaufen
EM;"001555457";ACACIA;Eintragung abgelaufen
EM;"001555630";GATEWAY;Marke eingetragen
EM;"001555762";CLEOPA;Marke eingetragen
EM;"001555788";REAL FREE STUFF.COM;Anmeldung zurückgenommen
EM;"001555929";BOSS VENTURI;Marke eingetragen
EM;"001556299";SOFTWARE IS THE SOUL OF E-BUSINESS;Eintragung abgelaufen
EM;"001556430";Zurich Cantonalbank;Verzicht auf Eintragung
EM;"001556455";ebop;Anmeldung zurückgenommen
EM;"001556737";IP6;Anmeldung zurückgewiesen
EM;"001557032";EASY TIGER;Anmeldung zurückgenommen
EM;"001557073";NAVISION Web Shop;Eintragung abgelaufen
EM;"001557107";CONEXT;Anmeldung zurückgenommen
EM;"001557156";CCTVWARE;Anmeldung zurückgewiesen
EM;"001557180";MEDNA;Anmeldung zurückgenommen
EM;"001557198";FUNNEL WEB;Eintragung abgelaufen
EM;"001557420";ACTIVE CONCEPTS;Anmeldung zurückgenommen
EM;"001557560";IPS;Anmeldung zurückgenommen
EM;"001557628";HOTBRANDS;Eintragung abgelaufen
EM;"001557636";MY WELLNESS;Marke eingetragen
EM;"001557677";@RCHIVE-IT.COM;Anmeldung zurückgenommen
EM;"001557685";EAMEC;Eintragung abgelaufen
EM;"001557719";EGILE;Anmeldung zurückgenommen
EM;"001557800";EGILITY;Eintragung abgelaufen
EM;"001557875";WHAT TRANSACTION CAN WE E-POWER FOR YOU ?;Anmeldung zurückgenommen
EM;"001557925";ESCAPE;Anmeldung zurückgenommen
EM;"001557958";E-COMMERCE FOR THE E-GENERATION;Anmeldung zurückgenommen
EM;"001558006";WELCOME TO THE E-GENERATION;Anmeldung zurückgenommen
EM;"001558170";MODULTEK;Marke eingetragen
EM;"001558212";Warpgames;Anmeldung zurückgenommen
EM;"001558246";GOSSIP;Eintragung abgelaufen
EM;"001558279";TRYLLIAN;Eintragung abgelaufen
EM;"001558493";EUROPEAN ASSOCIATION FOR MULTIMEDIA EDUCATION AND CONSULTANCY;Anmeldung zurückgewiesen
EM;"001558766";SCREEN;Anmeldung zurückgenommen
EM;"001558790";DIGIMASTER;Marke eingetragen
EM;"001558865";STARMEDIA;Marke eingetragen
EM;"001558907";CT AUTOPILOT;Anmeldung zurückgewiesen
EM;"001558923";CASH;Anmeldung zurückgenommen
EM;"001559038";KIDOLOGY;Anmeldung zurückgenommen
EM;"001559046";WANNET;Anmeldung zurückgewiesen
EM;"001559053";idesign icon;Marke eingetragen
EM;"001559061";CIRQUE DU FREAK;Eintragung abgelaufen
EM;"001559178";SCHAFFNER;Marke eingetragen
EM;"001559202";DEMON MUSIC GROUP;Marke eingetragen
EM;"001559228";WEBCHECK;Eintragung abgelaufen
EM;"001559467";WAPLOOK;Anmeldung zurückgenommen
EM;"001559574";INTEL NETSTRUCTURE;Eintragung abgelaufen
EM;"001559632";DARREN SHAN;Eintragung abgelaufen
EM;"001561778";LAST MILE SOLUTIONS;Anmeldung zurückgenommen
EM;"001561877";ORANGE.COM;Marke eingetragen
EM;"001561893";TENFOLD COMMERCIAL LINES MANAGER;Anmeldung zurückgenommen
EM;"001562115";BAYSTACK;Marke eingetragen
EM;"001562214";ABACUS ESOP ADMINISTRATOR;Marke eingetragen
EM;"001562271";ABACUS ESOP ONLINE;Marke eingetragen
EM;"001562479";YOUR INTERNET UTILITY COMPANY;Anmeldung zurückgewiesen
EM;"001562503";DeepSearch;Eintragung abgelaufen
EM;"001562511";INSYNQ;Anmeldung zurückgenommen
EM;"001562628";TVTV;Marke eingetragen
EM;"001562644";TECHSIGHT;Marke eingetragen
EM;"001562750";Dynamax;Eintragung abgelaufen
EM;"001562875";THE SIMS;Marke eingetragen
EM;"001562891";Dynam-X;Anmeldung zurückgenommen
EM;"001562966";INTERACTIVE INTEGRATOR;Anmeldung zurückgewiesen
EM;"001563121";ps.com;Marke eingetragen
EM;"001563147";PST;Marke eingetragen
EM;"001563246";Deutsche Post World Net;Eintragung abgelaufen
EM;"001563329";SIMIAN;Eintragung abgelaufen
EM;"001563378";CENTRAL PERK;Marke eingetragen
EM;"001563394";SNOOP;Marke eingetragen
EM;"001563501";Elenbi.com;Eintragung abgelaufen
EM;"001563535";LUCENT STINGER;Marke eingetragen
EM;"001563576";DARIA;Marke eingetragen
EM;"001563675";DECISIONBASE;Marke eingetragen
EM;"001563733";CONTROL YOURSELF;Eintragung abgelaufen
EM;"001563923";HOW E WORKS;Anmeldung zurückgenommen
EM;"001564095";TVTVTV;Marke eingetragen
EM;"001564178";PRAETORIANS:FORGE OF AN EMPIRE;Eintragung abgelaufen
EM;"001564194";PRAETORIANS;Eintragung abgelaufen
EM;"001564236";HEART OF STONE;Eintragung abgelaufen
EM;"001564244";DRUM;Marke eingetragen
EM;"001564509";THE MATRIX;Marke eingetragen
EM;"001564574";ELEXICA;Marke eingetragen
EM;"001564665";SIMULIS;Marke eingetragen
EM;"001564756";WE ALSO WALK DOGS;Eintragung abgelaufen
EM;"001564764";SECURESIM;Anmeldung zurückgewiesen
EM;"001564806";INTERANCE - ENABLING INSURANCE THE DOT WAY;Eintragung abgelaufen
EM;"001564830";VMS;Anmeldung zurückgenommen
EM;"001564897";PULSE WEB MAKER;Anmeldung zurückgenommen
EM;"001564905";EXODUS;Anmeldung zurückgenommen
EM;"001565076";E-DYNAMIX;Anmeldung zurückgenommen
EM;"001565159";MYNET;Anmeldung zurückgenommen
EM;"001565209";RUSSELL MELLON ANALYTICAL SERVICES;Eintragung abgelaufen
EM;"001565217";SURFTAXI;Anmeldung zurückgenommen
EM;"001565365";WELLNESS MANAGER;Marke eingetragen
EM;"001565837";UDEX;Eintragung abgelaufen
EM;"001566017";CROSSMEDIA;Anmeldung zurückgewiesen
EM;"001566199";eSense;Eintragung abgelaufen
EM;"001566355";FINANCIAL FUSION;Marke eingetragen
EM;"001566421";LOUD RECORDS;Eintragung abgelaufen
EM;"001566454";GENERATION O;Eintragung abgelaufen
EM;"001566991";CYBER GRINDING;Marke eingetragen
EM;"001567197";PATIENTNET;Anmeldung zurückgewiesen
EM;"001567254";SCIENCE360;Anmeldung zurückgenommen
EM;"001567262";LABPOINT;Anmeldung zurückgenommen
EM;"001567270";PAYMYBILLS.COM;Anmeldung zurückgenommen
EM;"001567296";FTSERVER;Anmeldung zurückgewiesen
EM;"001567320";SUPRA;Marke eingetragen
EM;"001567379";CCG.XM;Eintragung abgelaufen
EM;"001567395";ODYSSEY;Marke eingetragen
EM;"001567486";ENABLENET;Eintragung abgelaufen
EM;"001567544";ORSUS;Eintragung abgelaufen
EM;"001567585";CLOAKWARE;Marke eingetragen
EM;"001567643";maclinic.com;Eintragung abgelaufen
EM;"001567668";OUTERSONIC;Marke eingetragen
EM;"001567676";MOBILIAN;Eintragung abgelaufen
EM;"001567718";E.FLEET;Anmeldung zurückgenommen
EM;"001567890";e-health partner;Anmeldung zurückgewiesen
EM;"001567999";DUNGEON SIEGE;Marke eingetragen
EM;"001568054";COMMERCEQUEST;Eintragung abgelaufen
EM;"001568112";HOLISTIX;Eintragung abgelaufen
EM;"001568385";HOSTEU;Anmeldung zurückgenommen
EM;"001568526";DIZ;Marke eingetragen
EM;"001568591";Transoft e-volutionary solutions;Eintragung abgelaufen
EM;"001568690";K4K2B;Eintragung abgelaufen
EM;"001568708";WRDC;Eintragung abgelaufen
EM;"001568807";BIOMNI;Marke eingetragen
EM;"001568880";CODEHOST;Eintragung abgelaufen
EM;"001569003";axalant;Eintragung abgelaufen
EM;"001569136";FLEXVOICE;Eintragung abgelaufen
EM;"001569342";MASTERCARE;Anmeldung zurückgenommen
EM;"001569391";MINDFIRE;Eintragung abgelaufen
EM;"001569680";TRADEMILES;Eintragung abgelaufen
EM;"001569730";BABY POWER;Eintragung abgelaufen
EM;"001569748";GSM-Service 24;Anmeldung zurückgewiesen
EM;"001569847";THE INTERNET INDUSTRY PORTAL;Anmeldung zurückgenommen
EM;"001569862";MULTIVIEW CATALYST;Eintragung abgelaufen
EM;"001569961";E-ANSWERS;Anmeldung zurückgenommen
EM;"001570092";ALPHABROWSER;Anmeldung zurückgenommen
EM;"001570142";DIEBOLD;Marke eingetragen
EM;"001570167";MULTIVIEW ENTERPRISE;Anmeldung zurückgenommen
EM;"001570266";AUNA;Marke eingetragen
EM;"001570332";IGLUE;Eintragung abgelaufen
EM;"001570431";EFRENZY;Anmeldung zurückgenommen
EM;"001570662";Greet-N-Win;Anmeldung zurückgenommen
EM;"001570670";KeySafe;Marke eingetragen
EM;"001570688";nFast;Marke eingetragen
EM;"001570704";nShield;Marke eingetragen
EM;"001570738";nForce;Anmeldung zurückgenommen
EM;"001570977";MK FONDS-TRAINER;Eintragung abgelaufen
EM;"001571033";ONOLAB;Eintragung abgelaufen
EM;"001571165";COMCENTRON;Eintragung abgelaufen
EM;"001571249";ICL ENTERPRISE INFORMATION INFRASTRUCTURE;Eintragung abgelaufen
EM;"001571462";IBEX COUNT DOWN €;Eintragung abgelaufen
EM;"001571595";RED HERRING;Anmeldung zurückgenommen
EM;"001571686";FFASTNET;Verzicht auf Eintragung
EM;"001571876";ALYSIS;Eintragung abgelaufen
EM;"001572221";TINY ONLINE;Eintragung abgelaufen
EM;"001572338";VIRTUALPHENOTYPE;Marke eingetragen
EM;"001572395";UNITY;Anmeldung zurückgenommen
EM;"001572429";iPresentation;Eintragung abgelaufen
EM;"001572718";ALAPAGE.COM;Marke eingetragen
EM;"001572817";SICAVONLINE;Marke eingetragen
EM;"001572825";MEDICALIS;Eintragung abgelaufen
EM;"001572841";TINY TRADERS;Anmeldung zurückgenommen
EM;"001572874";TINY AUCTIONS;Anmeldung zurückgenommen
EM;"001572940";VIRCONET;Eintragung abgelaufen
EM;"001573062";Presenter.com;Anmeldung zurückgenommen
EM;"001573195";iPresenter Network;Anmeldung zurückgenommen
EM;"001573294";IBEX FAIR PC;Eintragung abgelaufen
EM;"001573468";e1;Anmeldung zurückgenommen
EM;"001573765";RENDEMIX;Marke eingetragen
EM;"001573799";BAUNACH;Marke eingetragen
EM;"001573856";AUTOPAY;Marke eingetragen
EM;"001574029";AFTERWORK;Anmeldung zurückgenommen
EM;"001574318";ARI;Anmeldung zurückgenommen
EM;"001574391";YOUR INTERNET DESKTOP;Anmeldung zurückgenommen
EM;"001574474";SCRUMMIES;Anmeldung zurückgenommen
EM;"001574599";EIB-LAN;Eintragung abgelaufen
EM;"001574623";E-SYNCRO;Anmeldung zurückgenommen
EM;"001574649";Softlink Alice;Anmeldung zurückgenommen
EM;"001574672";TELEREPLAY;Anmeldung zurückgenommen
EM;"001574920";EIBnet;Eintragung abgelaufen
EM;"001574961";RAYNEGARD;Eintragung abgelaufen
EM;"001575091";Inforate;Anmeldung zurückgenommen
EM;"001575182";EASYCOMMUNITY;Eintragung abgelaufen
EM;"001575273";I-EIB;Eintragung abgelaufen
EM;"001575331";IMQUEST;Marke eingetragen
EM;"001575380";E*PATH;Anmeldung zurückgenommen
EM;"001575414";KANBAY E-SOLUTIONS CENTER PUNE;Anmeldung zurückgenommen
EM;"001575646";TC fit;Marke eingetragen
EM;"001575695";Trust Alliance;Marke eingetragen
EM;"001575729";ARCANUM;Eintragung abgelaufen
EM;"001575760";GROUND CONTROL;Marke eingetragen
EM;"001575844";VIPER;Anmeldung zurückgenommen
EM;"001575869";TU LUGAR EN INTERNET;Anmeldung zurückgenommen
EM;"001576024";DATEDGE;Eintragung abgelaufen
EM;"001576206";VERSIONSYNC;Eintragung abgelaufen
EM;"001576289";StackWare;Eintragung abgelaufen
EM;"001576362";POP FACTORY;Eintragung abgelaufen
EM;"001576644";YLINE;Marke eingetragen
EM;"001576925";WERUM;Marke eingetragen
EM;"001577030";TROPHOBLAST GENE FILTER TECHNOLOGY - TGFT;Anmeldung zurückgenommen
EM;"001577154";BANXAFE;Marke eingetragen
EM;"001577188";THE NET PLANET;Marke eingetragen
EM;"001577220";jetwin;Anmeldung zurückgenommen
EM;"001577329";SOCIART;Eintragung abgelaufen
EM;"001577352";CYBERCOP;Anmeldung zurückgenommen
EM;"001577444";COCUS;Eintragung abgelaufen
EM;"001577493";IFAY;Eintragung abgelaufen
EM;"001577766";GENUS;Anmeldung zurückgenommen
EM;"001578004";Gladiac;Marke eingetragen
EM;"001578053";SAFAS;Marke eingetragen
EM;"001578202";Cindy Cyber;Eintragung abgelaufen
EM;"001578244";WEBPARTNER;Anmeldung zurückgenommen
EM;"001578376";ADURONET;Eintragung abgelaufen
EM;"001578574";BILLBACK;Marke eingetragen
EM;"001578707";BIOLOGICAL BROWSER - B2;Anmeldung zurückgenommen
EM;"001578772";PRICE WIZARD;Anmeldung zurückgenommen
EM;"001578897";PBC;Anmeldung zurückgenommen
EM;"001579002";Digital Radio World;Anmeldung zurückgenommen
EM;"001579051";KeepOnTop;Eintragung abgelaufen
EM;"001579077";INTELICHECK;Eintragung abgelaufen
EM;"001579382";SMILEWARE;Eintragung abgelaufen
EM;"001579416";IPORTAL SUITE;Eintragung abgelaufen
EM;"001579473";THE BIGSTORE.COM;Anmeldung zurückgewiesen
EM;"001579630";SURFVIEW;Eintragung abgelaufen
EM;"001579747";POLARCAST;Eintragung abgelaufen
EM;"001579879";TECHNOLOGY DEFAULT SWAP;Eintragung abgelaufen
EM;"001579903";NETERGY NETWORKS;Anmeldung zurückgenommen
EM;"001579911";CHORUS;Eintragung abgelaufen
EM;"001579986";SIGNATURE FMS;Eintragung abgelaufen
EM;"001580034";PETROSKILLS;Marke eingetragen
EM;"001580257";TESPAR;Eintragung abgelaufen
EM;"001580414";HEART TV;Eintragung abgelaufen
EM;"001580455";SUNESI;Anmeldung zurückgenommen
EM;"001580463";ARMADILLO;Marke eingetragen
EM;"001580828";CHAGALL;Marke eingetragen
EM;"001580893";SPOX;Anmeldung zurückgenommen
EM;"001580901";MARC CHAGALL;Marke eingetragen
EM;"001581024";TOMATO;Marke eingetragen
EM;"001581040";ENSEMBLE;Anmeldung zurückgenommen
EM;"001581172";lesswire;Marke eingetragen
EM;"001581198";UNIPOWER;Marke eingetragen
EM;"001581362";swest;Anmeldung zurückgenommen
EM;"001581388";TakeU2.com;Anmeldung zurückgenommen
EM;"001581420";BANKFRAME;Eintragung abgelaufen
EM;"001581453";PROTEIN WAREHOUSE;Eintragung abgelaufen
EM;"001581461";BI-LOGIX, INC.;Eintragung abgelaufen
EM;"001581511";SIMGRID;Eintragung abgelaufen
EM;"001581537";WORLDNET LOTTERY;Anmeldung zurückgewiesen
EM;"001581578";NEA;Anmeldung zurückgewiesen
EM;"001581628";Information linx to Business;Anmeldung zurückgenommen
EM;"001581636";IPOnline;Eintragung abgelaufen
EM;"001581917";POLOPOLY;Marke eingetragen
EM;"001581982";RedBrigade;Eintragung abgelaufen
EM;"001582121";LAPSAFE;Marke eingetragen
EM;"001582147";SEE&HEARME;Anmeldung zurückgenommen
EM;"001582162";VISBOOK;Marke eingetragen
EM;"001582170";BI-PERFORMANCE CENTER;Eintragung abgelaufen
EM;"001582436";KIDSEDGE;Eintragung abgelaufen
EM;"001582584";DREAMSURF;Anmeldung zurückgenommen
EM;"001582667";FORTA;Eintragung abgelaufen
EM;"001582774";Der Pluspunkt im Auto;Eintragung abgelaufen
EM;"001582782";BI-SOLUTION;Eintragung abgelaufen
EM;"001582824";P3;Marke eingetragen
EM;"001582881";SELAR;Marke eingetragen
EM;"001583087";SFCOMMAND;Anmeldung zurückgenommen
EM;"001583392";SFPROTECT;Anmeldung zurückgenommen
EM;"001583426";DEVOR;Eintragung abgelaufen
EM;"001583434";SFDEFEND;Anmeldung zurückgenommen
EM;"001583442";XUL;Marke eingetragen
EM;"001583574";SONATO;Eintragung abgelaufen
EM;"001583707";Smartcap;Anmeldung zurückgenommen
EM;"001583780";BPATH;Anmeldung zurückgewiesen
EM;"001583897";thechemistry.com;Marke eingetragen
EM;"001583996";IMMall;Marke eingetragen
EM;"001584143";SUITCASE;Anmeldung zurückgenommen
EM;"001584283";CLEARMAGIC;Anmeldung zurückgenommen
EM;"001584424";XULM;Marke eingetragen
EM;"001584879";VISX STAR S3 SMOOTHSCAN;Eintragung abgelaufen
EM;"001585157";HPOL;Anmeldung zurückgenommen
EM;"001585389";IRONWORKS;Eintragung abgelaufen
EM;"001585454";IRONSIDE;Eintragung abgelaufen
EM;"001585538";BioChipnology;Eintragung abgelaufen
EM;"001585645";talenttrax;Eintragung abgelaufen
EM;"001585769";e-POINT;Anmeldung zurückgenommen
EM;"001585884";BUSINESS WITHOUT INTERRUPTION;Anmeldung zurückgenommen
EM;"001585926";IDmart;Marke eingetragen
EM;"001585967";THE GETTY;Marke eingetragen
EM;"001585975";STAROFFICE;Marke eingetragen
EM;"001586155";MAX-FX TECHNOLOGY;Eintragung abgelaufen
EM;"001586338";CLUB KART;Marke eingetragen
EM;"001586486";V-STAFF;Anmeldung zurückgenommen
EM;"001586577";V-QUEST;Anmeldung zurückgenommen
EM;"001586627";eTrack;Anmeldung zurückgewiesen
EM;"001586668";VIRTUAL VILLAGE;Eintragung abgelaufen
EM;"001586726";SURESMILE;Marke eingetragen
EM;"001586833";ANANOVA;Marke eingetragen
EM;"001586908";U BETTER BE INSIDE;Marke eingetragen
EM;"001587013";PRIMARY MOVEMENT;Marke eingetragen
EM;"001587237";CRONON;Marke eingetragen
EM;"001587302";RWD INFO PAK;Marke eingetragen
EM;"001587450";?WHAT IF!;Marke eingetragen
EM;"001587500";ANOTO;Marke eingetragen
EM;"001587518";GENIUS AT PLAY;Eintragung abgelaufen
EM;"001587542";academia;Eintragung abgelaufen
EM;"001587567";SMARTIP;Anmeldung zurückgenommen
EM;"001587591";PLATH;Marke eingetragen
EM;"001587856";GDSL;Eintragung abgelaufen
EM;"001587872";REPUBLIC ALLEY;Eintragung abgelaufen
EM;"001587922";DYNASTREAM;Marke eingetragen
EM;"001587989";ADITRON;Eintragung abgelaufen
EM;"001588268";METALXML;Anmeldung zurückgenommen
EM;"001588276";Vaybee;Marke eingetragen
EM;"001588359";PUBLIDESK;Marke eingetragen
EM;"001588425";Big Deals are no Big Deal;Eintragung abgelaufen
EM;"001588433";CULTURES;Marke eingetragen
EM;"001588458";WEB TO WAREHOUSE;Anmeldung zurückgenommen
EM;"001588615";WAVVE;Anmeldung zurückgenommen
EM;"001588722";TESTPARTNER;Marke eingetragen
EM;"001589175";b-gate.com;Eintragung abgelaufen
EM;"001589456";b-gate;Eintragung abgelaufen
EM;"001589837";ΠΟΡΤΟΚΑΛΙ;Marke eingetragen
EM;"001589936";11 BIS;Anmeldung zurückgenommen
EM;"001590066";XECUTE;Eintragung abgelaufen
EM;"001590116";1 BIS;Eintragung abgelaufen
EM;"001590207";COFACERATING;Eintragung abgelaufen
EM;"001590223";GloBase;Marke eingetragen
EM;"001590249";PROBLEMANALYZER;Anmeldung zurückgewiesen
EM;"001590306";RTPerformer;Anmeldung zurückgewiesen
EM;"001590405";PROBLEMONITOR;Anmeldung zurückgewiesen
EM;"001590520";Tracs-Lite;Eintragung abgelaufen
EM;"001590538";OPENWORLD;Widerspruch eingelegt
EM;"001590702";IONA IPORTAL SUITE;Eintragung abgelaufen
EM;"001591015";GENUITY;Eintragung abgelaufen
EM;"001591288";TALKCAST;Anmeldung zurückgenommen
EM;"001591320";DISCOVERY SCIENCE CHANNEL;Eintragung abgelaufen
EM;"001591718";VISUAL PROBLEMONITOR;Anmeldung zurückgewiesen
EM;"001591734";FIBRE;Eintragung abgelaufen
EM;"001592013";IPORTAL;Eintragung abgelaufen
EM;"001592070";IMAGE POWER;Eintragung abgelaufen
EM;"001592146";RTSinfonia;Marke eingetragen
EM;"001592203";Intelligent Network Xchange;Anmeldung zurückgewiesen
EM;"001592237";RTComposer;Marke eingetragen
EM;"001592245";TALK CITY;Eintragung abgelaufen
EM;"001592286";3DSMART;Eintragung abgelaufen
EM;"001592344";VISUAL PROBLEMANALYZER;Anmeldung zurückgenommen
EM;"001592492";AUTOWISE;Anmeldung zurückgenommen
EM;"001592534";INX;Anmeldung zurückgewiesen
EM;"001592567";RCM3;Marke eingetragen
EM;"001592765";COGITO;Anmeldung zurückgenommen
EM;"001593243";DEFCOM;Eintragung abgelaufen
EM;"001593292";HERRINGTOWN;Anmeldung zurückgenommen
EM;"001593375";REDHERRINGMEDIA.COM;Anmeldung zurückgenommen
EM;"001593672";INCOPY;Marke eingetragen
EM;"001593706";TENFOLD FASTSTART;Eintragung abgelaufen
EM;"001593821";NAVISION JobWorld;Anmeldung zurückgenommen
EM;"001593847";ABATTIA GROUP;Eintragung abgelaufen
EM;"001593904";LAKEWOOD;Eintragung abgelaufen
EM;"001593953";www.sitescope.eu;Eintragung abgelaufen
EM;"001593995";LONGRUN;Eintragung abgelaufen
EM;"001594027";HOW BIG CAN YOU DREAM?;Eintragung abgelaufen
EM;"001594043";ArrayLink;Eintragung abgelaufen
EM;"001594050";www.homecheck.eu;Eintragung abgelaufen
EM;"001594159";MONTALVO;Eintragung abgelaufen
EM;"001594167";SARASOTA;Eintragung abgelaufen
EM;"001594225";UBSEC;Anmeldung zurückgenommen
EM;"001594258";INTIMEDATA;Anmeldung zurückgenommen
EM;"001594266";SCH;Marke eingetragen
EM;"001594308";SENNHEISER;Marke eingetragen
EM;"001594332";3KUBED;Eintragung abgelaufen
EM;"001594555";@.COM;Anmeldung zurückgewiesen
EM;"001594563";RIVERSIDE;Eintragung abgelaufen
EM;"001594654";I-ESCROW;Anmeldung zurückgenommen
EM;"001594712";E-NABLING SERVICE PROVIDER INFRASTRUCTURE;Anmeldung zurückgenommen
EM;"001594753";LOBITOS;Eintragung abgelaufen
EM;"001594928";THE VIRTUAL WORLDS COMPANY;Anmeldung zurückgenommen
EM;"001594951";IDEA MACHINE;Eintragung abgelaufen
EM;"001595024";Secu@ccess;Eintragung abgelaufen
EM;"001595065";Morgenweb;Marke eingetragen
EM;"001595297";FLYERWORX;Eintragung abgelaufen
EM;"001595404";OVEN DIGITAL;Anmeldung zurückgenommen
EM;"001595412";CABIplan;Marke eingetragen
EM;"001595420";econe;Anmeldung zurückgewiesen
EM;"001595834";intranet4rent.com;Anmeldung zurückgenommen
EM;"001595925";LUCENT STARTRAC;Anmeldung zurückgenommen
EM;"001595958";INTERNETNEWS;Anmeldung zurückgewiesen
EM;"001596014";PRIMOPUEL;Eintragung abgelaufen
EM;"001596022";Wellfit;Marke eingetragen
EM;"001596253";Pricegirl;Anmeldung zurückgenommen
EM;"001596493";E-WEEK;Eintragung abgelaufen
EM;"001596550";PlanIt4Kids.com;Eintragung abgelaufen
EM;"001596600";INTERNETKIT;Anmeldung zurückgewiesen
EM;"001596626";NEURAL ENGINE;Eintragung abgelaufen
EM;"001597202";BEEBEEP;Anmeldung zurückgenommen
EM;"001597236";mySAP.com;Eintragung abgelaufen
EM;"001597327";CARDLOGON;Anmeldung zurückgenommen
EM;"001597350";TERABEAM;Eintragung abgelaufen
EM;"001597517";GOT 3D ?;Eintragung abgelaufen
EM;"001597574";ALLPLAY;Anmeldung zurückgenommen
EM;"001597780";EXCEPTIS TECHNOLOGIES(WITHDRAWEL);Anmeldung zurückgenommen
EM;"001597822";ESPACE JURIDIQUE AVOCATS;Marke eingetragen
EM;"001597889";PULSECHECK;Eintragung abgelaufen
EM;"001597939";MUSIC3W;Anmeldung zurückgenommen
EM;"001598010";EVERYPATH;Eintragung abgelaufen
EM;"001598036";TherapieSelect;Eintragung abgelaufen
EM;"001598101";Living Innovation;Marke eingetragen
EM;"001598150";ImmunoSelect;Eintragung abgelaufen
EM;"001598200";Nanoserver;Marke eingetragen
EM;"001598259";BRAVONESTOR;Eintragung abgelaufen
EM;"001598275";ADOPIA;Eintragung abgelaufen
EM;"001598325";PICTURATION;Eintragung abgelaufen
EM;"001598424";ChemoSelect;Eintragung abgelaufen
EM;"001598697";OCTOPUS;Marke eingetragen
EM;"001598713";ehire.com;Anmeldung zurückgewiesen
EM;"001598739";LAZY SOFTWARE;Eintragung abgelaufen
EM;"001598747";FUSIONONE;Marke eingetragen
EM;"001598762";fax2send;Eintragung abgelaufen
EM;"001598887";DOTS;Anmeldung zurückgenommen
EM;"001598903";Y-CREDS;Eintragung abgelaufen
EM;"001599208";LAZYSOFT;Eintragung abgelaufen
EM;"001599216";DOT;Anmeldung zurückgenommen
